情境,歸戶,類,出口,G(a′)輪0(㎡),2×G vs 114.07,Σa(㎡),配額G(㎡),增配面積(㎡),差額地價(元)§52-1,放棄改領(元)§53-2,補償_本文式(元)§53-1,補償_但書式(元),目標塊,資格款,意思決定
3.5m,G013,公設軌,<½ 現金補償,19.71,<,36.0,,,,,2594110,—(不適用·非申請分割),—,—(公設軌·無原街廓),§53-3 他項權利協調旗(本案空)
3.5m,G024,公設軌,<½ 現金補償,7.26,<,12.32,,,,,887762,—(不適用·非申請分割),—,—(公設軌·無原街廓),§53-3 他項權利協調旗(本案空)
3.5m,G028,公設軌,<½ 現金補償,33.49,<,52.0,,,,,3747048,—(不適用·非申請分割),—,—(公設軌·無原街廓),§53-3 他項權利協調旗(本案空)
3.5m,G014,建地軌·第2梯類,≥½ 配地 G(a′),124.83,≥,228.0,124.83,0.0,,9431046,,,R4,深度較淺,
3.5m,G033,建地軌·第2梯類,≥½ 配地 G(a′),134.69,≥,246.0,134.69,0.0,,10175980,,,R4,深度較淺,
3.5m,G020,建地軌·第2梯類,增配§31-1-2,148.26,≥,246.0,156.29,8.03,546008,10081088,,,R3,深度較淺＋後價較低,增配>0·試分配預設自動
3.5m,G018,建地軌·第2梯類,≥½ 配地 G(a′),134.14,≥,245.0,134.14,0.0,,10134427,,,R4,深度較淺,
3.5m,G004,建地軌·第2梯類,增配§31-1-2,147.36,≥,246.0,158.2,10.84,737077,10019891,,,R3,深度較淺＋後價較低,增配>0·試分配預設自動
3.5m,G031,公設軌·增配出口,增配§31-1-2,121.89,≥,207.0,156.52,34.63,2485518,8748479,,,R2,公設軌·全塊(手冊(三)),增配>0·試分配預設自動
3.5m,G015,公設軌·增配出口,增配§31-1-2,111.14,≥,203.0,116.7,5.56,420064,8396751,,,R4,公設軌·全塊(手冊(三)),增配>0·試分配預設自動
