情境,街廓,暫編地號,角色,G_E(㎡),新形面積(㎡),S_E(m),S_new(m),宗地寬度_new(m),Δ面積(㎡)
3.5m,R1,628-36(1),標的(吞楔形·left),638.61,638.61,19.46,19.3,19.24,0.005
3.5m,R1,628-35(2),前移,741.92,741.92,22.38,22.38,22.31,-0.002
3.5m,R1,628(5),對側·未動,328.52,328.43,12.97,12.97,12.93,
3.5m,R1,74·G016@R1,對側·未動,206.7,206.75,6.24,6.24,6.22,
3.5m,R1,74·G003@R1,對側·未動,192.25,192.18,5.8,5.8,5.78,
3.5m,R1,74·G025@R1,對側·未動,214.98,215.06,6.49,6.49,6.47,
3.5m,R1,74·G031@R1,對側·未動,117.16,117.31,3.54,3.54,3.53,
3.5m,R1,628-37(1),對側·未動,291.93,291.98,8.81,8.81,8.78,
3.5m,R6,628-4(1),標的(吞楔形·left),776.72,776.72,16.49,14.65,14.61,-0.001
3.5m,R6,628-21(1),前移,433.71,433.71,9.33,9.31,9.28,-0.003
3.5m,R6,628-20(1),前移,366.93,366.93,7.97,7.95,7.93,-0.001
3.5m,R6,628-18(1),對側·未動,295.59,295.7,10.43,10.43,10.4,
3.5m,R6,628-38(1),對側·未動,335.44,335.35,7.66,7.66,7.64,
3.5m,R6,628-7(1),對側·未動,1494.39,1494.6,33.36,33.36,33.25,
